ID,Razón Social,RUT / CUIT,Operación,Categoría Principal,Total Envíos,Total Camiones,Flete Total USD,Promedio USD/Camión,Último Envío
3229,EMPRESA EL MERCURIO SAP,—,EXPO,Otros,4,5,13800.00,2760.00,2025-10-24
2538,BAKELS CHILE S.A.,96647600-1,IMPO,Otros,5,5,10195.00,2039.00,2025-12-09
2617,PRODUCTOS QUIM.TANAX S.A.C.E I,92893000-9,IMPO,Maquinaria y equipos,5,5,11750.00,2350.00,2025-11-13
3189,PETROQUIMICA DOW SA,—,EXPO,Plásticos y polímeros,5,5,15450.00,3090.00,2026-01-06
2741,SOC INMOBILIARIA Y DE INVERSIO,78444180-6,IMPO,Papel y cartón,5,5,7029.99,1406.00,2025-12-22
3183,SIKA S A CHILE,—,EXPO,Químicos industriales,5,5,8490.00,1698.00,2025-09-04
3182,STARBUCKS COFFEE CHILE S.A.,—,EXPO,Plásticos y polímeros,5,5,18031.05,3606.21,2025-11-13
2750,INVERSIONES VFR I SPA,76800177-4,IMPO,Carnes y derivados,5,5,17500.00,3500.00,2025-12-15
2511,MANUF.METAL.RHEEM CHILENA LTDA,91881000-5,IMPO,Otros,5,5,12419.99,2484.00,2026-01-20
2761,LAFITTE CHILE Y CIA. LTDA.,77633070-1,IMPO,Otros,5,5,11956.43,2391.29,2025-10-24
3309,ERAL CHILE S.A.,—,EXPO,Otros,4,5,10995.00,2199.00,2026-01-26
3162,TOTAL FRUIT COMERCIAL SPA,—,EXPO,Frutas y verduras,5,5,9750.00,1950.00,2025-03-06
3160,MARIENBERG GESTORA DE NEGOCIOS,—,EXPO,Otros,5,5,11169.00,2233.80,2026-01-08
3152,TECHINT CHILE S.A.,—,EXPO,Metales y siderurgia,5,5,22300.00,4460.00,2026-01-29
2624,AGROCOMERCIAL SAFRATEC CHILE L,76033350-6,IMPO,Químicos industriales,3,5,3180.00,636.00,2025-10-16
2478,SOC.AUSTRAL DE ELECTRICIDAD SA,76073162-5,IMPO,Otros,5,5,20888.14,4177.63,2026-01-12
2297,SUMMIT AGRO CHILE SPA,76336855-6,IMPO,Envases y embalajes,5,5,13250.00,2650.00,2025-08-26
2583,TRANSFORMADORES TUSAN S A,86386700-2,IMPO,Metales y siderurgia,5,5,9223.99,1844.80,2025-10-03
2854,CRANDON S.A.,76046952-1,IMPO,Otros,5,5,15500.00,3100.00,2025-10-21
2312,DISTRIBUIDORA FARGA Y CASADO S,77029518-1,IMPO,Aceites y grasas,5,5,11700.00,2340.00,2025-12-04
2857,LA VINOTECA LTDA,78766490-3,IMPO,Bebidas,5,5,5449.98,1090.00,2025-12-23
2860,COMERCIAL AGROLUJUMA LIMITADA,77856140-9,IMPO,Carnes y derivados,5,5,16235.50,3247.10,2025-11-07
2455,CLARIANT (CHILE) LIMITADA,80853400-2,IMPO,Químicos industriales,5,5,21498.00,4299.60,2025-08-06
2450,TUBOPACK S.A.,96585650-1,IMPO,Otros,5,5,7401.00,1480.20,2025-12-04
2347,RAUL TAGLE E HIJOS LTDA.,81448200-6,IMPO,Otros,5,5,6579.27,1315.85,2025-11-12
2904,ANTALIS CHILE SPA,77305910-1,IMPO,Papel y cartón,5,5,11000.00,2200.00,2025-07-02
2911,TATTERSALL AGROINSUMOS S.A.,96775400-5,IMPO,Otros,5,5,12300.00,2460.00,2025-11-28
2912,COMERCIAL INTERADI LTDA.,77687700-K,IMPO,Otros,2,5,13034.88,2606.98,2025-04-16
2916,ENVASES IMPRESOS SPA,89201400-0,IMPO,Cereales y harinas,3,5,13650.00,2730.00,2025-01-14
2921,COMERCIAL SNAÂíE (CHILE) LTDA.,77529470-1,IMPO,Otros,5,5,3555.24,711.05,2025-12-04
2369,IND. DE ALIMENTOS TRENDY S.A.,78109470-6,IMPO,Frutas y verduras,5,5,17650.00,3530.00,2026-01-12
2426,LABORATORIO DURANDIN SA,91913000-8,IMPO,Otros,5,5,3271.72,654.34,2026-01-30
2379,LABORATORIOS EUROMED CHILE S.A,79802770-0,IMPO,Maquinaria y equipos,5,5,14050.02,2810.00,2025-11-10
2382,FERROCARRIL DE ANTOFAGASTA A B,81148200-5,IMPO,Otros,5,5,7419.30,1483.86,2025-12-12
3033,DESERT KING CHILE S.A.,—,EXPO,Otros,5,5,12900.00,2580.00,2025-12-01
3029,COMERCIAL GREENVIC S.A.,—,EXPO,Frutas y verduras,5,5,13910.80,2782.16,2026-01-14
2483,FIBRO SONOCO S.A.,96810510-8,IMPO,Envases y embalajes,4,4,6631.00,1657.75,2026-01-26
2490,MANNHEIM S.A.,93725000-2,IMPO,Otros,4,4,7729.99,1932.50,2025-11-05
2494,ACEROS AZA S.A.,92176000-0,IMPO,Yerba y infusiones,4,4,3930.00,982.50,2025-04-25
